Loan_ID,Group_ID,Group_Size,Years_in_Group,Group_Savings,Group_Loan_Repayment_Rate,Meeting_Attendance_Pct,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000001,WSHG0103,17,4,28341.31,0.71,59.5,Female,Yes,0,Not Graduate,Yes,4042,2379,103.0,360,1.0,Rural,Y
LP000002,WSHG0180,14,4,55784.05,0.69,91.1,Female,Yes,3+,Not Graduate,No,2178,3603,283.0,300,0.0,Rural,N
LP000003,WSHG0093,13,7,50433.44,0.67,77.2,Female,No,,Graduate,No,6866,982,47.0,240,0.0,Urban,N
LP000004,WSHG0015,11,8,32344.53,0.93,53.9,Female,Yes,0,Graduate,No,11581,3942,72.0,360,1.0,Semiurban,Y
LP000005,WSHG0107,12,1,21341.94,0.71,97.8,Female,Yes,1,Graduate,Yes,7143,2590,79.0,240,0.0,Rural,N
LP000006,WSHG0072,12,5,79102.7,0.97,62.3,Female,Yes,1,Not Graduate,Yes,8910,1042,32.0,240,1.0,Rural,Y
LP000007,WSHG0189,13,7,39050.12,0.99,93.0,Female,Yes,2,Graduate,No,11335,2538,261.0,240,1.0,Semiurban,Y
LP000008,WSHG0021,13,12,56620.57,0.83,58.4,Female,No,1,Graduate,No,7041,861,248.0,360,0.0,Rural,N
LP000009,WSHG0103,19,4,15541.47,0.66,92.7,Female,No,0,Not Graduate,Yes,2334,1876,88.0,180,1.0,Rural,Y
LP000010,WSHG0122,14,13,41419.23,0.75,50.7,Female,No,0,Graduate,No,11933,1835,313.0,480,1.0,Rural,Y
LP000011,WSHG0075,13,4,7065.25,0.92,75.6,Female,Yes,1,Not Graduate,Yes,11360,4208,331.0,480,0.0,Rural,N
LP000012,WSHG0088,19,4,42909.13,0.75,88.5,Female,,0,Graduate,No,7526,3526,93.0,480,0.0,Semiurban,N
LP000013,WSHG0117,17,12,77301.31,0.63,96.7,Female,No,2,Graduate,No,9972,1685,99.0,120,1.0,Semiurban,Y
LP000014,WSHG0100,15,6,33815.5,0.82,95.5,Female,,1,Not Graduate,No,9470,3401,332.0,480,0.0,Rural,N
LP000015,WSHG0104,15,7,7924.7,0.94,91.0,Female,Yes,2,Not Graduate,No,8318,1622,171.0,480,1.0,Rural,Y
LP000016,WSHG0152,17,2,7321.68,0.92,94.4,Female,Yes,3+,Not Graduate,No,6528,4957,231.0,480,1.0,Rural,Y
LP000017,WSHG0131,16,5,34099.01,0.67,60.0,Female,Yes,3+,Graduate,Yes,6203,2657,236.0,360,1.0,Semiurban,Y
LP000018,WSHG0150,19,4,17001.87,0.87,64.2,Female,Yes,3+,Not Graduate,Yes,10938,1932,250.0,360,1.0,Rural,Y
LP000019,WSHG0053,19,14,6751.41,0.69,64.4,Female,No,0,Graduate,Yes,3272,507,391.0,180,1.0,Rural,N
LP000020,WSHG0002,17,13,61716.02,0.69,68.9,Female,No,0,Graduate,Yes,3664,4561,275.0,360,1.0,Urban,Y
LP000021,WSHG0088,11,3,39389.23,0.95,69.7,Female,Yes,1,Graduate,No,8611,3478,110.0,180,1.0,Rural,Y
LP000022,WSHG0158,18,7,26693.36,0.7,77.2,Female,Yes,3+,Graduate,Yes,9883,2656,280.0,300,1.0,Urban,Y
LP000023,WSHG0038,10,11,72506.24,0.71,58.0,Female,Yes,3+,Graduate,Yes,4335,1121,80.0,480,1.0,Rural,Y
LP000024,WSHG0130,17,12,13710.42,0.6,84.6,Female,No,3+,Graduate,Yes,4165,289,314.0,300,1.0,Rural,Y
